SampleNumber,BioYear,pack,hr_type,Prey,mean_read_count,total_reads_sample,prop_reads_sample
307,2016,Sandy Beach,den,Castor canadensis,17062.66667,17062.66667,1
308,2016,Sandy Beach,den,Castor canadensis,1445.333333,1445.333333,1
309,2016,Sandy Beach,den,Castor canadensis,1897.666667,1897.666667,1
313,2016,NA,NA,Odocoileus hemionus,9229,9229,1
314,2016,Sandy Beach,den,Odocoileus hemionus,31064.66667,31064.66667,1
315,2016,Sandy Beach,den,Odocoileus hemionus,41882.66667,41882.66667,1
318,2016,Karta,annual,Odocoileus hemionus,9229,9229,1
319,2016,Karta,annual,Odocoileus hemionus,31064.66667,31064.66667,1
320,2016,Sandy Beach,den,Odocoileus hemionus,41882.66667,41882.66667,1
321,2016,Sandy Beach,den,Castor canadensis,67452.33333,67452.33333,1
323,2016,Sandy Beach,den,Castor canadensis,350.6666667,350.6666667,1
324,2016,Sandy Beach,den,Castor canadensis,3651,3651,1
325,2016,Sandy Beach,den,Odocoileus hemionus,6601.333333,6601.333333,1
326,2016,Sandy Beach,den,Odocoileus hemionus,61561,61561,1
327,2016,Sandy Beach,den,Odocoileus hemionus,58425.66667,58425.66667,1
328,2016,Sandy Beach,den,Odocoileus hemionus,26285.33333,26285.33333,1
329,2016,Sandy Beach,annual,Odocoileus hemionus,43971.33333,44815,0.981174458
329,2016,Sandy Beach,annual,Castor canadensis,843.6666667,44815,0.018825542
330,2016,Sandy Beach,annual,Odocoileus hemionus,28358.33333,28358.33333,1
331,2016,Karta,annual,Odocoileus hemionus,50010.33333,50010.33333,1
332,2016,Karta,annual,Odocoileus hemionus,126059,126059,1
333,2016,Karta,annual,Odocoileus hemionus,59360.33333,59360.33333,1
334,2016,Karta,annual,Odocoileus hemionus,37961,38751,0.979613429
334,2016,Karta,annual,Microtus sp.,790,38751,0.020386571
335,2016,Karta,annual,Odocoileus hemionus,22238.66667,22238.66667,1
336,2016,Karta,annual,Odocoileus hemionus,14644,14644,1
337,2016,Ratz,den,Odocoileus hemionus,98863,103918.6667,0.951349774
337,2016,Ratz,den,Castor canadensis,5055.666667,103918.6667,0.048650226
338,2016,Ratz,den,Castor canadensis,35927.33333,35927.33333,1
341,2016,Ratz,den,Castor canadensis,106698,127348,0.837845903
341,2016,Ratz,den,Odocoileus hemionus,20650,127348,0.162154097
342,2016,Ratz,den,Odocoileus hemionus,35341,37103.33333,0.952502021
342,2016,Ratz,den,Castor canadensis,313.3333333,37103.33333,0.008444884
342,2016,Ratz,den,Haliaeetus leucocephalus,1449,37103.33333,0.039053095
345,2016,Ratz,den,Castor canadensis,5808.666667,5808.666667,1
347,2016,Honker,annual,Odocoileus hemionus,15155.66667,137455.3333,0.110258848
347,2016,Honker,annual,Ursus americanus,122299.6667,137455.3333,0.889741152
348,2016,Honker,annual,Odocoileus hemionus,1152.333333,26021,0.044284744
348,2016,Honker,annual,Castor canadensis,8897.666667,26021,0.341941765
348,2016,Honker,annual,Martes americana,15971,26021,0.613773491
350,2016,Honker,annual,Odocoileus hemionus,55070.66667,55070.66667,1
352,2016,Sandy Beach,den,Odocoileus hemionus,3500.333333,124215,0.028179635
352,2016,Sandy Beach,den,Castor canadensis,120714.6667,124215,0.971820365
354,2016,Sandy Beach,den,Castor canadensis,4696,4696,1
355,2016,Sandy Beach,annual,Odocoileus hemionus,65747.66667,65747.66667,1
356,2016,Ratz,den,Odocoileus hemionus,51588,51588,1
358,2016,Ratz,den,Odocoileus hemionus,85745.66667,85745.66667,1
359,2016,Staney,den,Castor canadensis,18788.66667,37409,0.502249904
359,2016,Staney,den,Odocoileus hemionus,18375,37409,0.491191959
359,2016,Staney,den,Haliaeetus leucocephalus,245.3333333,37409,0.006558137
360,2016,Staney,den,Odocoileus hemionus,127329,127329,1
361,2016,Staney,den,Odocoileus hemionus,89047,89047,1
362,2016,Staney,den,Odocoileus hemionus,36288,36288,1
363,2016,Staney,den,Odocoileus hemionus,34639,34639,1
364,2016,Staney,den,Odocoileus hemionus,48110.33333,106801,0.450467068
